Count.tree_pollen,Count.grass_pollen,Count.weed_pollen,Risk.tree_pollen,Risk.grass_pollen,Risk.weed_pollen,Species.Others,Species.Grass.Grass / Poaceae,Species.Tree.Oak,Species.Tree.Cypress / Juniper / Cedar,Species.Tree.Mulberry,Species.Tree.Pine,Species.Tree.Elm,Species.Tree.Ash,Species.Tree.Birch,Species.Tree.Maple,Species.Tree.Poplar / Cottonwood,Species.Weed.Ragweed,SpeciesRisk.Oak,SpeciesRisk.Cypress / Juniper / Cedar,SpeciesRisk.Mulberry,SpeciesRisk.Pine,SpeciesRisk.Elm,SpeciesRisk.Ash,SpeciesRisk.Birch,SpeciesRisk.Maple,SpeciesRisk.Poplar / Cottonwood,SpeciesRisk.Grass / Poaceae,SpeciesRisk.Ragweed,lat,lng,time,date
151,0,0,Moderate,Low,Low,0,0,0,151,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674345600,2023-01-22
88,0,0,Low,Low,Low,0,0,0,88,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674432000,2023-01-23
17,0,0,Low,Low,Low,15,0,0,2,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674518400,2023-01-24
257,0,0,High,Low,Low,0,0,0,257,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674604800,2023-01-25
190,0,0,Moderate,Low,Low,0,0,0,190,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674691200,2023-01-26
4,0,0,Low,Low,Low,0,0,0,4,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674777600,2023-01-27
39,0,0,Low,Low,Low,25,0,0,14,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674864000,2023-01-28
123,0,0,Moderate,Low,Low,0,0,0,123,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674950400,2023-01-29
13,0,0,Low,Low,Low,0,0,0,13,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675036800,2023-01-30
63,0,0,Low,Low,Low,24,0,0,39,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675123200,2023-01-31
72,0,0,Low,Low,Low,1,0,0,71,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675209600,2023-02-01
240,0,0,High,Low,Low,0,0,11,223,6,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675296000,2023-02-02
55,0,0,Low,Low,Low,3,0,1,51,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675382400,2023-02-03
68,0,0,Low,Low,Low,6,0,2,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675468800,2023-02-04
193,0,0,Moderate,Low,Low,4,0,15,165,5,0,3,0,0,1,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675555200,2023-02-05
118,0,0,Moderate,Low,Low,5,0,12,94,4,0,1,0,0,2,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675641600,2023-02-06
144,0,0,Moderate,Low,Low,4,0,18,109,5,0,4,0,0,4,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675728000,2023-02-07
214,0,0,High,Low,Low,3,0,34,151,10,0,8,0,0,6,2,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675814400,2023-02-08
147,0,0,Moderate,Low,Low,0,0,35,92,11,0,4,0,0,5,0,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675900800,2023-02-09
173,0,0,Moderate,Low,Low,3,0,36,107,12,0,8,0,0,6,1,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675987200,2023-02-10
120,0,0,Moderate,Low,Low,0,0,32,68,10,0,4,0,0,6,0,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676073600,2023-02-11
256,0,0,High,Low,Low,6,0,61,140,20,0,15,0,0,12,2,0,High,High,Low,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676160000,2023-02-12
735,0,0,Very High,Low,Low,0,0,332,187,126,0,18,0,0,72,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676246400,2023-02-13
181,0,0,Moderate,Low,Low,4,0,47,94,16,0,10,0,0,9,1,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676332800,2023-02-14
153,0,0,Moderate,Low,Low,5,0,39,79,13,0,9,0,0,7,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676419200,2023-02-15
642,0,0,High,Low,Low,0,0,292,169,106,0,16,0,0,59,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676505600,2023-02-16
275,0,0,High,Low,Low,6,0,71,143,24,0,16,0,0,13,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676592000,2023-02-17
61,0,0,Low,Low,Low,14,0,9,31,3,0,3,0,0,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676678400,2023-02-18
123,0,0,Moderate,Low,Low,4,0,31,63,11,0,7,0,0,6,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676764800,2023-02-19
469,0,0,High,Low,Low,0,0,202,141,72,0,13,0,0,41,0,0,Very High,High,High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676851200,2023-02-20
281,0,0,High,Low,Low,5,0,73,146,25,0,16,0,0,14,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676937600,2023-02-21
275,0,0,High,Low,Low,6,0,71,143,24,0,16,0,0,13,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677024000,2023-02-22
239,0,0,High,Low,Low,0,0,88,93,31,0,9,0,0,18,0,0,High,High,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677110400,2023-02-23
216,0,0,High,Low,Low,5,0,56,112,19,0,12,0,0,10,2,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1677196800,2023-02-24
687,0,0,High,Low,Low,0,0,317,175,113,0,17,0,0,65,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677283200,2023-02-25
439,0,0,High,Low,Low,7,0,114,228,39,0,26,0,0,21,4,0,High,High,High,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677369600,2023-02-26
588,0,0,High,Low,Low,0,0,265,161,94,0,15,0,0,53,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677456000,2023-02-27
406,0,0,High,Low,Low,6,0,105,211,36,0,24,0,0,20,4,0,High,High,Moderate,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677542400,2023-02-28
1081,0,0,Very High,Low,Low,0,0,530,227,191,0,22,0,0,111,0,0,Very High,High,Very High,Low,High,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677628800,2023-03-01
318,0,0,High,Low,Low,6,0,82,165,28,0,19,0,0,15,3,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677715200,2023-03-02
220,0,0,High,Low,Low,0,0,81,88,28,0,8,0,0,15,0,0,High,High,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677801600,2023-03-03
394,0,0,High,Low,Low,15,0,102,197,35,0,23,0,0,19,3,0,High,High,Moderate,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677888000,2023-03-04
556,0,0,High,Low,Low,0,0,262,148,89,0,15,15,0,12,15,0,Very High,High,Very High,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677974400,2023-03-05
376,0,0,High,Low,Low,10,0,101,180,33,3,22,3,3,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678060800,2023-03-06
378,0,0,High,Low,Low,17,0,102,173,34,3,22,3,3,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678147200,2023-03-07
528,0,0,High,Low,Low,0,0,225,124,84,2,50,2,19,11,11,0,Very High,High,Very High,Low,Very High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678233600,2023-03-08
333,0,0,High,Low,Low,1,0,93,146,33,6,23,6,6,16,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678320000,2023-03-09
277,0,0,High,Low,Low,0,0,111,81,39,1,27,1,7,7,3,0,High,Moderate,High,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678406400,2023-03-10
143,0,0,Moderate,Low,Low,7,0,40,58,14,2,10,2,2,7,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678492800,2023-03-11
184,0,0,Moderate,Low,Low,0,0,66,58,22,3,16,3,7,6,3,0,High,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678579200,2023-03-12
349,0,0,High,Low,Low,4,0,101,136,34,10,24,10,10,17,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678665600,2023-03-13
56,0,0,Low,Low,Low,6,0,16,21,5,1,3,1,1,2,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678752000,2023-03-14
65,0,0,Low,Low,Low,21,0,11,24,3,1,2,1,0,2,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678838400,2023-03-15
39,0,0,Low,Low,Low,5,0,11,14,3,1,2,1,1,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678924800,2023-03-16
91,0,0,Low,Low,Low,16,0,23,33,8,1,5,1,1,3,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679011200,2023-03-17
589,0,0,High,Low,Low,12,0,170,223,58,17,41,17,17,29,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679097600,2023-03-18
35,0,0,Low,Low,Low,17,0,3,12,0,0,2,0,0,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679184000,2023-03-19
123,0,0,Moderate,Low,Low,6,0,35,46,12,3,8,3,3,6,1,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679270400,2023-03-20
103,0,0,Moderate,Low,Low,3,0,29,39,10,3,7,3,3,5,1,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679356800,2023-03-21
998,0,0,Very High,Low,Low,0,0,462,146,165,7,118,7,55,15,23,0,Very High,High,Very High,Low,Very High,Low,Moderate,Moderate,Moderate,Low,Low,33.7544657,-84.3898151,1679443200,2023-03-22
548,0,0,High,Low,Low,10,0,158,208,54,16,38,16,16,27,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679529600,2023-03-23
830,0,0,Very High,Low,Low,0,0,373,131,135,7,96,7,46,14,21,0,Very High,High,Very High,Low,Very High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1679616000,2023-03-24
739,0,0,Very High,Low,Low,12,0,214,280,73,22,51,22,22,36,7,0,Very High,Very High,High,Moderate,Very High,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1679702400,2023-03-25
2228,0,0,Very High,Low,Low,0,0,1079,223,391,12,283,12,138,24,66,0,Very High,High,Very High,Low,Very High,Low,High,High,High,Low,Low,33.7544657,-84.3898151,1679788800,2023-03-26
366,0,0,High,Low,Low,9,0,106,139,36,10,25,10,10,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1679875200,2023-03-27
509,0,0,High,Low,Low,9,0,147,193,50,15,35,15,15,25,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679961600,2023-03-28
414,0,0,High,Low,Low,0,0,176,90,61,4,44,4,19,9,7,0,High,High,High,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680048000,2023-03-29
410,0,0,High,Low,Low,8,0,118,155,41,12,28,12,12,20,4,0,High,High,High,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680134400,2023-03-30
237,0,0,High,Low,Low,0,0,92,65,31,3,23,3,10,7,3,0,High,Moderate,Moderate,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680220800,2023-03-31
470,0,0,High,Low,Low,8,0,136,178,47,14,32,14,14,23,4,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680307200,2023-04-01
1135,0,0,Very High,Low,Low,0,0,534,152,190,8,135,8,63,16,29,0,Very High,High,Very High,Low,Very High,Low,Moderate,Moderate,Moderate,Low,Low,33.7544657,-84.3898151,1680393600,2023-04-02
312,0,0,High,Low,Low,13,0,90,112,31,9,21,9,9,15,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1680480000,2023-04-03
1898,0,0,Very High,Low,Low,0,0,891,185,322,10,229,16,142,21,82,0,Very High,High,Very High,Low,Very High,Low,High,High,High,Low,Low,33.7544657,-84.3898151,1680566400,2023-04-04
569,0,0,High,Low,Low,17,0,165,187,56,22,39,22,22,28,11,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680652800,2023-04-05
575,0,0,High,Low,Low,10,0,172,172,57,23,40,28,28,28,17,0,High,High,High,Moderate,High,Moderate,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680739200,2023-04-06
3672,0,0,Very High,Low,Low,0,0,1732,195,607,30,442,37,382,30,217,0,Very High,High,Very High,High,Very High,Moderate,Very High,High,Very High,Low,Low,33.7544657,-84.3898151,1680825600,2023-04-07
289,0,0,High,Low,Low,10,0,86,69,28,14,20,17,17,17,11,0,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1680912000,2023-04-08
243,0,0,High,Low,Low,0,0,92,36,31,7,22,10,22,8,15,0,High,Low,Moderate,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680998400,2023-04-09
300,0,0,High,Low,Low,3,0,90,57,30,18,21,24,24,18,15,0,High,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1681084800,2023-04-10
527,0,0,High,Low,Low,0,0,214,39,70,13,49,20,65,13,44,0,Very High,Low,High,Low,Very High,Low,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1681171200,2023-04-11
222,0,0,High,Low,Low,7,0,68,31,22,15,15,19,19,13,13,0,High,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1681257600,2023-04-12
149,0,0,Moderate,Low,Low,4,0,46,19,14,10,10,14,14,8,10,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1681344000,2023-04-13
1605,0,0,Very High,Low,Low,0,0,680,50,226,27,166,41,226,23,166,0,Very High,Low,Very High,High,Very High,High,High,High,Very High,Low,Low,33.7544657,-84.3898151,1681430400,2023-04-14
470,0,0,High,Low,Low,9,0,145,51,47,32,32,47,47,28,32,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681516800,2023-04-15
1502,0,0,Very High,Low,Low,0,0,636,44,215,26,152,40,215,22,152,0,Very High,Low,Very High,Moderate,Very High,High,High,High,Very High,Low,Low,33.7544657,-84.3898151,1681603200,2023-04-16
350,0,0,High,Low,Low,6,0,108,38,35,24,24,35,35,21,24,0,High,Low,Moderate,Moderate,High,Moderate,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681689600,2023-04-17
568,0,0,High,Low,Low,0,0,230,27,75,16,54,24,75,13,54,0,Very High,Low,Very High,Moderate,Very High,Moderate,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1681776000,2023-04-18
394,0,0,High,Low,Low,8,0,122,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681862400,2023-04-19
491,0,0,High,Low,Low,7,0,152,54,49,34,34,49,49,29,34,0,High,Low,High,High,High,High,Moderate,High,Moderate,Low,Low,33.7544657,-84.3898151,1681948800,2023-04-20
505,0,0,High,Low,Low,0,0,203,25,66,15,48,22,66,12,48,0,Very High,Low,High,Moderate,High,Low,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1682035200,2023-04-21
323,0,0,High,Low,Low,7,0,100,35,32,22,22,32,32,19,22,0,High,Low,Moderate,Moderate,High,Moderate,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682121600,2023-04-22
343,0,0,High,Low,Low,0,0,135,20,43,12,31,18,43,10,31,0,High,Low,High,Low,High,Low,Low,Low,Moderate,Low,Low,33.7544657,-84.3898151,1682208000,2023-04-23
247,0,0,High,Low,Low,7,0,76,27,24,17,17,24,24,14,17,0,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1682294400,2023-04-24
743,0,0,Very High,Low,Low,0,0,305,31,102,18,71,28,102,15,71,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682380800,2023-04-25
397,0,0,High,Low,Low,10,0,123,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682467200,2023-04-26
176,0,0,Moderate,Low,Low,6,0,54,19,17,12,12,17,17,10,12,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682553600,2023-04-27
800,0,0,Very High,Low,Low,0,0,330,32,110,19,77,29,110,16,77,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682640000,2023-04-28
397,0,0,High,Low,Low,10,0,123,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682726400,2023-04-29
920,0,0,Very High,Low,Low,0,0,382,34,128,20,90,31,128,17,90,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682812800,2023-04-30
232,0,0,High,Low,Low,0,0,87,16,28,10,20,15,28,8,20,0,High,Low,Moderate,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682899200,2023-05-01
137,0,0,Moderate,Low,Low,6,0,42,15,13,9,9,13,13,8,9,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682985600,2023-05-02
162,7,0,Moderate,Low,Low,0,7,59,12,19,9,13,12,19,6,13,0,High,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683072000,2023-05-03
250,2,2,High,Low,Low,2,2,77,25,25,22,17,25,25,15,17,2,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1683158400,2023-05-04
188,15,0,Moderate,Low,Low,7,15,58,16,18,18,15,16,16,11,13,0,High,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683244800,2023-05-05
404,23,2,High,Low,Low,0,23,160,15,51,22,42,18,47,11,38,2,High,Low,High,Moderate,High,Low,Low,Low,Moderate,Low,Low,33.7544657,-84.3898151,1683331200,2023-05-06
252,40,16,High,Moderate,Low,6,40,78,17,25,32,22,20,20,15,17,16,High,Low,Moderate,High,High,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683417600,2023-05-07
398,51,9,High,Moderate,Low,0,51,160,11,51,31,46,15,42,11,31,9,High,Low,High,High,High,Low,Low,Low,Moderate,Moderate,Low,33.7544657,-84.3898151,1683504000,2023-05-08
242,56,9,High,Moderate,Low,5,56,77,9,26,38,21,19,19,14,14,9,High,Low,Moderate,High,High,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683590400,2023-05-09
357,37,15,High,Moderate,Low,0,37,144,4,50,33,46,12,31,10,27,15,High,Low,High,High,High,Low,Low,Low,Moderate,Moderate,Low,33.7544657,-84.3898151,1683676800,2023-05-10
121,25,13,Moderate,Low,Low,4,25,38,2,13,22,12,8,8,7,7,13,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683763200,2023-05-11
155,31,15,Moderate,Moderate,Low,4,31,49,1,17,31,17,9,9,9,9,15,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1683849600,2023-05-12
181,31,16,Moderate,Moderate,Low,0,31,68,0,14,45,14,13,7,13,7,16,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683936000,2023-05-13
