Count.tree_pollen,Count.grass_pollen,Count.weed_pollen,Risk.tree_pollen,Risk.grass_pollen,Risk.weed_pollen,Species.Others,Species.Grass.Grass / Poaceae,Species.Tree.Oak,Species.Tree.Cypress / Juniper / Cedar,Species.Tree.Mulberry,Species.Tree.Pine,Species.Tree.Elm,Species.Tree.Ash,Species.Tree.Birch,Species.Tree.Maple,Species.Tree.Poplar / Cottonwood,Species.Weed.Ragweed,SpeciesRisk.Oak,SpeciesRisk.Cypress / Juniper / Cedar,SpeciesRisk.Mulberry,SpeciesRisk.Pine,SpeciesRisk.Elm,SpeciesRisk.Ash,SpeciesRisk.Birch,SpeciesRisk.Maple,SpeciesRisk.Poplar / Cottonwood,SpeciesRisk.Grass / Poaceae,SpeciesRisk.Ragweed,lat,lng,time,date,temp,min_temp,max_temp,precip,wind_spd
39,0,0,Low,Low,Low,25,0,0,14,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674864000,2023-01-28,46.4,0.6,14.4,0.0,1.8
123,0,0,Moderate,Low,Low,0,0,0,123,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674950400,2023-01-29,48.56,5.6,12.2,20.8,2.3
13,0,0,Low,Low,Low,0,0,0,13,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675036800,2023-01-30,54.5,9.4,16.1,12.3,2.1
63,0,0,Low,Low,Low,24,0,0,39,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675123200,2023-01-31,60.62,13.0,18.9,0.3,2.9
72,0,0,Low,Low,Low,1,0,0,71,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675209600,2023-02-01,54.32,8.9,15.0,1.3,3.5
240,0,0,High,Low,Low,0,0,11,223,6,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675296000,2023-02-02,47.66,7.8,10.0,29.3,3.0
55,0,0,Low,Low,Low,3,0,1,51,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675382400,2023-02-03,42.980000000000004,1.7,8.9,5.3,6.5
68,0,0,Low,Low,Low,6,0,2,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675468800,2023-02-04,40.82,-1.1,10.0,0.0,3.3
193,0,0,Moderate,Low,Low,4,0,15,165,5,0,3,0,0,1,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675555200,2023-02-05,48.56,2.2,16.7,0.0,2.9
118,0,0,Moderate,Low,Low,5,0,12,94,4,0,1,0,0,2,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675641600,2023-02-06,53.06,6.1,18.3,0.0,2.7
144,0,0,Moderate,Low,Low,4,0,18,109,5,0,4,0,0,4,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675728000,2023-02-07,54.5,5.0,19.4,0.0,2.1
214,0,0,High,Low,Low,3,0,34,151,10,0,8,0,0,6,2,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675814400,2023-02-08,62.78,12.9,22.8,0.0,2.6
147,0,0,Moderate,Low,Low,0,0,35,92,11,0,4,0,0,5,0,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675900800,2023-02-09,62.42,11.7,20.6,6.0,4.3
173,0,0,Moderate,Low,Low,3,0,36,107,12,0,8,0,0,6,1,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1675987200,2023-02-10,53.96,9.4,16.1,1.0,3.5
120,0,0,Moderate,Low,Low,0,0,32,68,10,0,4,0,0,6,0,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676073600,2023-02-11,49.1,5.6,12.8,16.3,7.6
256,0,0,High,Low,Low,6,0,61,140,20,0,15,0,0,12,2,0,High,High,Low,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676160000,2023-02-12,43.519999999999996,5.0,8.9,11.3,5.5
735,0,0,Very High,Low,Low,0,0,332,187,126,0,18,0,0,72,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676246400,2023-02-13,50.72,3.3,18.3,0.0,4.3
181,0,0,Moderate,Low,Low,4,0,47,94,16,0,10,0,0,9,1,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676332800,2023-02-14,56.66,5.0,20.6,0.0,3.0
153,0,0,Moderate,Low,Low,5,0,39,79,13,0,9,0,0,7,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676419200,2023-02-15,58.64,12.8,17.8,1.3,2.6
642,0,0,High,Low,Low,0,0,292,169,106,0,16,0,0,59,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676505600,2023-02-16,64.75999999999999,12.8,23.3,0.0,3.7
275,0,0,High,Low,Low,6,0,71,143,24,0,16,0,0,13,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676592000,2023-02-17,50.18,1.1,20.0,20.5,8.7
61,0,0,Low,Low,Low,14,0,9,31,3,0,3,0,0,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676678400,2023-02-18,42.44,-1.1,14.4,0.0,3.0
123,0,0,Moderate,Low,Low,4,0,31,63,11,0,7,0,0,6,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1676764800,2023-02-19,52.879999999999995,6.0,17.8,0.0,2.4
469,0,0,High,Low,Low,0,0,202,141,72,0,13,0,0,41,0,0,Very High,High,High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1676851200,2023-02-20,60.440000000000005,8.9,24.4,0.0,4.4
281,0,0,High,Low,Low,5,0,73,146,25,0,16,0,0,14,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1676937600,2023-02-21,64.58,16.1,20.6,3.8,3.8
275,0,0,High,Low,Low,6,0,71,143,24,0,16,0,0,13,2,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677024000,2023-02-22,70.34,16.1,27.2,0.0,4.5
239,0,0,High,Low,Low,0,0,88,93,31,0,9,0,0,18,0,0,High,High,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677110400,2023-02-23,71.6,20.6,25.0,0.0,4.1
216,0,0,High,Low,Low,5,0,56,112,19,0,12,0,0,10,2,0,Moderate,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1677196800,2023-02-24,66.92,13.3,23.9,6.0,3.0
687,0,0,High,Low,Low,0,0,317,175,113,0,17,0,0,65,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677283200,2023-02-25,58.82,12.8,17.2,0.0,3.1
439,0,0,High,Low,Low,7,0,114,228,39,0,26,0,0,21,4,0,High,High,High,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677369600,2023-02-26,66.38,16.1,23.9,0.0,3.9
588,0,0,High,Low,Low,0,0,265,161,94,0,15,0,0,53,0,0,Very High,High,Very High,Low,Moderate,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677456000,2023-02-27,66.2,15.0,23.9,0.3,4.3
406,0,0,High,Low,Low,6,0,105,211,36,0,24,0,0,20,4,0,High,High,Moderate,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677542400,2023-02-28,69.08,15.6,26.7,0.0,3.7
1081,0,0,Very High,Low,Low,0,0,530,227,191,0,22,0,0,111,0,0,Very High,High,Very High,Low,High,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1677628800,2023-03-01,67.82,15.6,23.9,0.0,2.8
318,0,0,High,Low,Low,6,0,82,165,28,0,19,0,0,15,3,0,High,High,Moderate,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677715200,2023-03-02,64.4,16.1,21.9,12.3,3.5
220,0,0,High,Low,Low,0,0,81,88,28,0,8,0,0,15,0,0,High,High,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677801600,2023-03-03,65.3,15.0,25.6,7.5,5.2
394,0,0,High,Low,Low,15,0,102,197,35,0,23,0,0,19,3,0,High,High,Moderate,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1677888000,2023-03-04,60.26,10.6,21.1,0.0,3.5
556,0,0,High,Low,Low,0,0,262,148,89,0,15,15,0,12,15,0,Very High,High,Very High,Low,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1677974400,2023-03-05,60.440000000000005,10.0,22.2,0.0,3.5
376,0,0,High,Low,Low,10,0,101,180,33,3,22,3,3,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678060800,2023-03-06,64.04,10.6,26.0,0.0,2.7
378,0,0,High,Low,Low,17,0,102,173,34,3,22,3,3,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678147200,2023-03-07,69.62,16.7,26.1,0.0,4.6
528,0,0,High,Low,Low,0,0,225,124,84,2,50,2,19,11,11,0,Very High,High,Very High,Low,Very High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678233600,2023-03-08,58.82,10.0,18.9,0.5,3.8
333,0,0,High,Low,Low,1,0,93,146,33,6,23,6,6,16,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678320000,2023-03-09,54.86,10.0,16.7,10.8,2.9
277,0,0,High,Low,Low,0,0,111,81,39,1,27,1,7,7,3,0,High,Moderate,High,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678406400,2023-03-10,55.76,10.0,18.9,12.3,4.3
143,0,0,Moderate,Low,Low,7,0,40,58,14,2,10,2,2,7,1,0,Moderate,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678492800,2023-03-11,52.7,4.4,17.2,0.0,3.3
184,0,0,Moderate,Low,Low,0,0,66,58,22,3,16,3,7,6,3,0,High,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678579200,2023-03-12,50.0,8.3,13.9,17.0,4.0
349,0,0,High,Low,Low,4,0,101,136,34,10,24,10,10,17,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1678665600,2023-03-13,49.28,5.6,13.9,0.0,6.2
56,0,0,Low,Low,Low,6,0,16,21,5,1,3,1,1,2,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678752000,2023-03-14,40.82,-0.6,10.0,0.0,5.7
65,0,0,Low,Low,Low,21,0,11,24,3,1,2,1,0,2,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678838400,2023-03-15,46.04,0.0,16.7,0.0,2.5
39,0,0,Low,Low,Low,5,0,11,14,3,1,2,1,1,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1678924800,2023-03-16,53.96,3.9,21.1,0.0,2.9
91,0,0,Low,Low,Low,16,0,23,33,8,1,5,1,1,3,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679011200,2023-03-17,57.2,9.0,17.8,22.5,4.8
589,0,0,High,Low,Low,12,0,170,223,58,17,41,17,17,29,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679097600,2023-03-18,44.78,2.2,11.7,0.0,7.2
35,0,0,Low,Low,Low,17,0,3,12,0,0,2,0,0,1,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679184000,2023-03-19,39.02,-0.6,7.2,0.0,6.5
123,0,0,Moderate,Low,Low,6,0,35,46,12,3,8,3,3,6,1,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679270400,2023-03-20,41.36,-2.2,12.8,0.0,3.6
103,0,0,Moderate,Low,Low,3,0,29,39,10,3,7,3,3,5,1,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1679356800,2023-03-21,49.64,2.2,16.1,0.0,2.7
998,0,0,Very High,Low,Low,0,0,462,146,165,7,118,7,55,15,23,0,Very High,High,Very High,Low,Very High,Low,Moderate,Moderate,Moderate,Low,Low,33.7544657,-84.3898151,1679443200,2023-03-22,57.2,7.8,21.1,0.3,2.6
548,0,0,High,Low,Low,10,0,158,208,54,16,38,16,16,27,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679529600,2023-03-23,65.12,10.6,26.1,0.0,3.2
830,0,0,Very High,Low,Low,0,0,373,131,135,7,96,7,46,14,21,0,Very High,High,Very High,Low,Very High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1679616000,2023-03-24,69.44,16.0,25.6,0.0,3.9
739,0,0,Very High,Low,Low,12,0,214,280,73,22,51,22,22,36,7,0,Very High,Very High,High,Moderate,Very High,Low,Low,Very High,Low,Low,Low,33.7544657,-84.3898151,1679702400,2023-03-25,71.6,14.4,28.3,15.5,4.7
2228,0,0,Very High,Low,Low,0,0,1079,223,391,12,283,12,138,24,66,0,Very High,High,Very High,Low,Very High,Low,High,High,High,Low,Low,33.7544657,-84.3898151,1679788800,2023-03-26,68.0,17.8,22.2,38.5,2.5
366,0,0,High,Low,Low,9,0,106,139,36,10,25,10,10,18,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1679875200,2023-03-27,69.44,17.2,26.7,17.8,4.2
509,0,0,High,Low,Low,9,0,147,193,50,15,35,15,15,25,5,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1679961600,2023-03-28,63.86,12.8,23.9,0.0,3.8
414,0,0,High,Low,Low,0,0,176,90,61,4,44,4,19,9,7,0,High,High,High,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680048000,2023-03-29,55.04,8.3,17.8,0.0,3.5
410,0,0,High,Low,Low,8,0,118,155,41,12,28,12,12,20,4,0,High,High,High,Low,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680134400,2023-03-30,59.540000000000006,7.2,22.8,0.0,1.8
237,0,0,High,Low,Low,0,0,92,65,31,3,23,3,10,7,3,0,High,Moderate,Moderate,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680220800,2023-03-31,66.2,12.2,25.0,0.0,4.3
470,0,0,High,Low,Low,8,0,136,178,47,14,32,14,14,23,4,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680307200,2023-04-01,70.52,13.9,26.7,10.5,7.5
1135,0,0,Very High,Low,Low,0,0,534,152,190,8,135,8,63,16,29,0,Very High,High,Very High,Low,Very High,Low,Moderate,Moderate,Moderate,Low,Low,33.7544657,-84.3898151,1680393600,2023-04-02,60.8,8.9,22.2,0.0,3.5
312,0,0,High,Low,Low,13,0,90,112,31,9,21,9,9,15,3,0,High,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1680480000,2023-04-03,57.02,12.2,15.0,6.0,2.6
1898,0,0,Very High,Low,Low,0,0,891,185,322,10,229,16,142,21,82,0,Very High,High,Very High,Low,Very High,Low,High,High,High,Low,Low,33.7544657,-84.3898151,1680566400,2023-04-04,65.66,13.9,25.0,0.0,3.2
569,0,0,High,Low,Low,17,0,165,187,56,22,39,22,22,28,11,0,High,High,High,Moderate,High,Low,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680652800,2023-04-05,75.74000000000001,18.3,29.4,0.0,3.5
575,0,0,High,Low,Low,10,0,172,172,57,23,40,28,28,28,17,0,High,High,High,Moderate,High,Moderate,Low,High,Low,Low,Low,33.7544657,-84.3898151,1680739200,2023-04-06,74.84,20.6,27.8,0.0,1.9
3672,0,0,Very High,Low,Low,0,0,1732,195,607,30,442,37,382,30,217,0,Very High,High,Very High,High,Very High,Moderate,Very High,High,Very High,Low,Low,33.7544657,-84.3898151,1680825600,2023-04-07,68.36,12.2,25.6,0.0,3.7
289,0,0,High,Low,Low,10,0,86,69,28,14,20,17,17,17,11,0,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1680912000,2023-04-08,46.76,6.7,11.9,26.5,8.1
243,0,0,High,Low,Low,0,0,92,36,31,7,22,10,22,8,15,0,High,Low,Moderate,Low,High,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1680998400,2023-04-09,53.42,6.7,18.9,0.0,6.5
300,0,0,High,Low,Low,3,0,90,57,30,18,21,24,24,18,15,0,High,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1681084800,2023-04-10,55.22,8.3,18.9,0.0,5.4
527,0,0,High,Low,Low,0,0,214,39,70,13,49,20,65,13,44,0,Very High,Low,High,Low,Very High,Low,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1681171200,2023-04-11,59.18,7.8,22.2,0.0,3.1
222,0,0,High,Low,Low,7,0,68,31,22,15,15,19,19,13,13,0,High,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1681257600,2023-04-12,63.86,8.9,25.0,0.0,2.3
149,0,0,Moderate,Low,Low,4,0,46,19,14,10,10,14,14,8,10,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1681344000,2023-04-13,60.980000000000004,13.3,17.8,6.3,4.6
1605,0,0,Very High,Low,Low,0,0,680,50,226,27,166,41,226,23,166,0,Very High,Low,Very High,High,Very High,High,High,High,Very High,Low,Low,33.7544657,-84.3898151,1681430400,2023-04-14,64.94,16.1,21.1,13.5,2.7
470,0,0,High,Low,Low,9,0,145,51,47,32,32,47,47,28,32,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681516800,2023-04-15,69.25999999999999,14.4,26.1,0.0,2.7
1502,0,0,Very High,Low,Low,0,0,636,44,215,26,152,40,215,22,152,0,Very High,Low,Very High,Moderate,Very High,High,High,High,Very High,Low,Low,33.7544657,-84.3898151,1681603200,2023-04-16,66.92,14.4,22.8,2.5,4.4
350,0,0,High,Low,Low,6,0,108,38,35,24,24,35,35,21,24,0,High,Low,Moderate,Moderate,High,Moderate,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681689600,2023-04-17,58.82,8.3,21.1,0.0,5.1
568,0,0,High,Low,Low,0,0,230,27,75,16,54,24,75,13,54,0,Very High,Low,Very High,Moderate,Very High,Moderate,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1681776000,2023-04-18,64.94,10.0,26.7,0.0,3.1
394,0,0,High,Low,Low,8,0,122,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1681862400,2023-04-19,70.34,12.8,28.3,0.0,2.2
491,0,0,High,Low,Low,7,0,152,54,49,34,34,49,49,29,34,0,High,Low,High,High,High,High,Moderate,High,Moderate,Low,Low,33.7544657,-84.3898151,1681948800,2023-04-20,71.78,15.6,28.3,0.0,2.9
